Unnamed: 0,COMARCA_origen,COMARCA_destino,viajes
0,ALTO DEBA_O,ALTO DEBA_D,3186925.575
1,ALTO DEBA_O,BAJO BIDASOA_D,5557.476000000001
2,ALTO DEBA_O,BAJO DEBA_D,334592.168
3,ALTO DEBA_O,DONOSTIALDEA_D,69276.8
4,ALTO DEBA_O,GOIERRI_D,236889.155
5,ALTO DEBA_O,TOLOSALDEA_D,22795.452
6,ALTO DEBA_O,UROLA KOSTA_D,69423.04699999999
7,ALTO DEBA_O,alava_D,182988.097
8,ALTO DEBA_O,bizkaia_D,244043.714
9,ALTO DEBA_O,francia_D,169.038
10,ALTO DEBA_O,navarra_D,15440.565
11,ALTO DEBA_O,resto españa_D,35448.06
12,BAJO BIDASOA_O,ALTO DEBA_D,5418.906
13,BAJO BIDASOA_O,BAJO BIDASOA_D,4711366.551
14,BAJO BIDASOA_O,BAJO DEBA_D,5382.291
15,BAJO BIDASOA_O,DONOSTIALDEA_D,861606.7050000001
16,BAJO BIDASOA_O,GOIERRI_D,11730.561
17,BAJO BIDASOA_O,TOLOSALDEA_D,21819.336
18,BAJO BIDASOA_O,UROLA KOSTA_D,22285.494
19,BAJO BIDASOA_O,alava_D,9906.157
20,BAJO BIDASOA_O,bizkaia_D,25285.025
21,BAJO BIDASOA_O,francia_D,11314.846
22,BAJO BIDASOA_O,navarra_D,109384.469
23,BAJO BIDASOA_O,resto españa_D,223172.523
24,BAJO DEBA_O,ALTO DEBA_D,337965.427
25,BAJO DEBA_O,BAJO BIDASOA_D,6001.375
26,BAJO DEBA_O,BAJO DEBA_D,2035423.729
27,BAJO DEBA_O,DONOSTIALDEA_D,82049.508
28,BAJO DEBA_O,GOIERRI_D,13992.074
29,BAJO DEBA_O,TOLOSALDEA_D,10457.773
30,BAJO DEBA_O,UROLA KOSTA_D,177990.678
31,BAJO DEBA_O,alava_D,24827.366
32,BAJO DEBA_O,bizkaia_D,349427.518
33,BAJO DEBA_O,francia_D,203.803
34,BAJO DEBA_O,navarra_D,7234.642
35,BAJO DEBA_O,resto españa_D,23189.116
36,DONOSTIALDEA_O,ALTO DEBA_D,69388.847
37,DONOSTIALDEA_O,BAJO BIDASOA_D,864876.162
38,DONOSTIALDEA_O,BAJO DEBA_D,80882.799
39,DONOSTIALDEA_O,DONOSTIALDEA_D,22597217.783
40,DONOSTIALDEA_O,GOIERRI_D,184098.013
41,DONOSTIALDEA_O,TOLOSALDEA_D,596952.88
42,DONOSTIALDEA_O,UROLA KOSTA_D,499629.151
43,DONOSTIALDEA_O,alava_D,69507.499
44,DONOSTIALDEA_O,bizkaia_D,199096.049
45,DONOSTIALDEA_O,francia_D,4336.666
46,DONOSTIALDEA_O,navarra_D,206063.254
47,DONOSTIALDEA_O,resto españa_D,225225.56
48,GOIERRI_O,ALTO DEBA_D,236640.539
49,GOIERRI_O,BAJO BIDASOA_D,12062.222
50,GOIERRI_O,BAJO DEBA_D,14497.017
51,GOIERRI_O,DONOSTIALDEA_D,184708.792
52,GOIERRI_O,GOIERRI_D,2183402.926
53,GOIERRI_O,TOLOSALDEA_D,331276.704
54,GOIERRI_O,UROLA KOSTA_D,76383.524
55,GOIERRI_O,alava_D,29713.095
56,GOIERRI_O,bizkaia_D,33328.414000000004
57,GOIERRI_O,francia_D,155.714
58,GOIERRI_O,navarra_D,49924.345
59,GOIERRI_O,resto españa_D,24340.192
60,TOLOSALDEA_O,ALTO DEBA_D,23089.52
61,TOLOSALDEA_O,BAJO BIDASOA_D,21931.099
62,TOLOSALDEA_O,BAJO DEBA_D,10018.736
63,TOLOSALDEA_O,DONOSTIALDEA_D,592270.212
64,TOLOSALDEA_O,GOIERRI_D,335252.167
65,TOLOSALDEA_O,TOLOSALDEA_D,1792127.25
66,TOLOSALDEA_O,UROLA KOSTA_D,157887.467
67,TOLOSALDEA_O,alava_D,12131.862
68,TOLOSALDEA_O,bizkaia_D,20881.531
69,TOLOSALDEA_O,francia_D,226.314
70,TOLOSALDEA_O,navarra_D,49082.803
71,TOLOSALDEA_O,resto españa_D,20337.534
72,UROLA KOSTA_O,ALTO DEBA_D,68885.111
73,UROLA KOSTA_O,BAJO BIDASOA_D,22631.884
74,UROLA KOSTA_O,BAJO DEBA_D,175927.977
75,UROLA KOSTA_O,DONOSTIALDEA_D,497035.626
76,UROLA KOSTA_O,GOIERRI_D,74350.05
77,UROLA KOSTA_O,TOLOSALDEA_D,153777.204
78,UROLA KOSTA_O,UROLA KOSTA_D,3110521.839
79,UROLA KOSTA_O,alava_D,24428.367
80,UROLA KOSTA_O,bizkaia_D,88891.50899999999
81,UROLA KOSTA_O,francia_D,315.168
82,UROLA KOSTA_O,navarra_D,31692.546
83,UROLA KOSTA_O,resto españa_D,40280.787
84,alava_O,ALTO DEBA_D,180560.157
85,alava_O,BAJO BIDASOA_D,9880.518
86,alava_O,BAJO DEBA_D,25328.006
87,alava_O,DONOSTIALDEA_D,70318.796
88,alava_O,GOIERRI_D,30076.006
89,alava_O,TOLOSALDEA_D,11595.089
90,alava_O,UROLA KOSTA_D,23439.688
91,bizkaia_O,ALTO DEBA_D,241621.211
92,bizkaia_O,BAJO BIDASOA_D,25887.941
93,bizkaia_O,BAJO DEBA_D,343012.183
94,bizkaia_O,DONOSTIALDEA_D,196116.044
95,bizkaia_O,GOIERRI_D,33804.724
96,bizkaia_O,TOLOSALDEA_D,20815.883
97,bizkaia_O,UROLA KOSTA_D,86050.695
98,francia_O,ALTO DEBA_D,188.032
99,francia_O,BAJO BIDASOA_D,12412.678
100,francia_O,BAJO DEBA_D,152.45600000000002
101,francia_O,DONOSTIALDEA_D,5181.066
102,francia_O,GOIERRI_D,246.269
103,francia_O,TOLOSALDEA_D,284.211
104,francia_O,UROLA KOSTA_D,404.189
105,navarra_O,ALTO DEBA_D,15479.119
106,navarra_O,BAJO BIDASOA_D,110256.852
107,navarra_O,BAJO DEBA_D,7546.508
108,navarra_O,DONOSTIALDEA_D,208821.514
109,navarra_O,GOIERRI_D,50308.321
110,navarra_O,TOLOSALDEA_D,50748.859
111,navarra_O,UROLA KOSTA_D,32344.418
112,resto españa_O,ALTO DEBA_D,36363.14
113,resto españa_O,BAJO BIDASOA_D,239555.227
114,resto españa_O,BAJO DEBA_D,25165.72
115,resto españa_O,DONOSTIALDEA_D,248191.893
116,resto españa_O,GOIERRI_D,25390.648
117,resto españa_O,TOLOSALDEA_D,21621.146
118,resto españa_O,UROLA KOSTA_D,40497.042
